"filename", "language", "TypeScript", "JavaScript", "JSON with Comments", "Markdown", "JSON", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/lib/types/api.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 0, 7, 11, 80
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/lib/types/components.ts", "TypeScript", 116, 0, 0, 0, 0, 0, 0, 15, 17, 148
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/lib/types/database.ts", "TypeScript", 178, 0, 0, 0, 0, 0, 0, 0, 1, 179
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/lib/types/entities.ts", "TypeScript", 73, 0, 0, 0, 0, 0, 0, 4, 9, 86
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/lib/types/forms.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 0, 4, 10, 74
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/lib/types/index.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 1, 0, 7
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/lib/types/utilities.ts", "TypeScript", 101, 0, 0, 0, 0, 0, 0, 19, 22, 142
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/lib/utils/__tests__/async.test.ts", "TypeScript", 297, 0, 0, 0, 0, 0, 0, 2, 99, 398
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/lib/utils/__tests__/date.test.ts", "TypeScript", 239, 0, 0, 0, 0, 0, 0, 5, 46, 290
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/lib/utils/__tests__/errors.test.ts", "TypeScript", 252, 0, 0, 0, 0, 0, 0, 0, 67, 319
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/lib/utils/__tests__/formatting.test.ts", "TypeScript", 208, 0, 0, 0, 0, 0, 0, 0, 40, 248
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/lib/utils/__tests__/storage.test.ts", "TypeScript", 216, 0, 0, 0, 0, 0, 0, 2, 62, 280
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/lib/utils/__tests__/validation.test.ts", "TypeScript", 264, 0, 0, 0, 0, 0, 0, 0, 46, 310
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/lib/utils/async.ts", "TypeScript", 232, 0, 0, 0, 0, 0, 0, 12, 47, 291
"/Users/williamsmith/Documents/GITHUB/FriendlyReminder/src/lib/utils/cn.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
